## pi+ -> d-2
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
70.      4.8           
118.     18.1          
162.     35.3          
239.     26.6          
330.     14.8          
0        2.4418        
50       8.79047       
100      21.0392       
150      23.9674       
200      21.7984       
250      19.9547       
300      18.8702       
350      18.1111       
400      8.89287       
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
