## pi+ -> he3-3
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
70.      2.7           
118.     13.3          
162.     24.1          
239.     24.1          
330.     15.9          
0        2.87175       
50       10.3383       
100      27.5692       
150      31.4061       
200      28.5639       
250      26.1481       
300      24.727        
350      23.7322       
400      11.653        
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
