## pi+ -> ti-48
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
0        8.70551       
50       31.3398       
100      175.053       
150      199.416       
200      181.37        
250      166.03        
300      157.007       
350      150.69        
400      73.9916       
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
