## pi+ -> fe-56
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
85       79.           
125      83.           
165      103.          
205      83.           
245      95.           
315      98.           
0        9.25918       
50       33.3331       
100      194           
150      221           
200      201           
250      184           
300      174           
350      167           
400      82            
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
