## pi+ -> cu-63
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
0        9.70585       
50       34.9411       
100      209.847       
150      239.053       
200      217.419       
250      199.03        
300      188.214       
350      180.642       
400      88.6983       
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
