## pi+ -> li-7
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
85       31.           
125      43.           
165      46.           
205      54.           
245      50.           
0        4.03029       
50       14.5091       
100      48.5          
150      55.25         
200      50.25         
250      46            
300      43.5          
350      41.75         
400      20.5          
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
