## pi+ -> nb-93
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
85       100.          
125      105.          
165      130.          
205      130.          
245      170.          
315      154.          
0        11.342        
50       40.8313       
100      272.06        
150      309.924       
200      281.877       
250      258.036       
300      244.013       
350      234.196       
400      114.995       
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
