## pi+ -> sn-120
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
0        0.0346183     
50       0.0434432     
100      0.270919      
150      0.316693      
200      0.375383      
250      0.417449      
300      0.434563      
350      0.446035      
400      0.224091      
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
