## pi+ -> c-12
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
165      0.069         
205      0.072         
245      0.085         
315      0.101         
0        0.0909091     
50       0.118421      
100      0.330679      
150      0.381499      
200      0.442577      
250      0.483815      
300      0.501199      
350      0.51165       
400      0.256639      
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
85       0.07125       
125      0.063         
