## pi+ -> o-16
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
0        0.0824374     
50       0.106775      
100      0.323299      
150      0.373588      
200      0.434528      
250      0.475984      
300      0.49337       
350      0.503978      
400      0.252838      
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
100      0.253484      
