## pi+ -> ta-181
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
0        0.0281161     
50       0.0351348     
100      0.260275      
150      0.30497       
200      0.362913      
250      0.40488       
300      0.42187       
350      0.433455      
400      0.217839      
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
