## pi+ -> h-1
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
0        0.157457      
50       0.214761      
100      0.391288      
150      0.44552       
200      0.506208      
250      0.544616      
300      0.56168       
350      0.570594      
400      0.285788      
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
