## pi+ -> bi-209
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
85       0.034         
125      0.04          
165      0.049         
245      0.072         
315      0.087         
0        0.019556      
50       0.0154992     
350      0.0648292     
400      0.0420435     
450      0.0383292     
500      0.0374757     
550      0.0418223     
600      0.040095      
650      0.0294524     
700      0.0227074     
750      0.0239549     
800      0.030478      
850      0.0360542     
900      0.0334622     
950      0.0243793     
1000     0.0173474     
205      0.0646        
