## pi+ -> he3-3
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
0        0.131378      
50       0.175946      
100      0.365331      
150      0.418307      
200      0.479484      
250      0.519317      
300      0.536579      
350      0.546201      
400      0.273735      
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
70       0.0390245     
118      0.105508      
162      0.228133      
239      0.251708      
330      0.136151      
