## pi+ -> ti-48
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
0        0.0532357     
50       0.0676257     
100      0.294792      
150      0.342787      
200      0.402786      
250      0.44479       
300      0.462094      
350      0.47323       
400      0.237594      
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
