## pi+ -> he-4
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
0        0.123401      
50       0.164352      
100      0.35829       
150      0.410874      
200      0.472102      
250      0.512268      
300      0.529569      
350      0.539371      
400      0.270358      
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
70       0.0695104     
118      0.118394      
162      0.215679      
239      0.304381      
330      0.232212      
