## pi+ -> fe-56
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
85       0.042         
165      0.056         
245      0.059         
315      0.07          
0        0.039118      
50       0.0330681     
350      0.0648292     
400      0.0420435     
450      0.0383292     
500      0.0374757     
550      0.0418223     
600      0.040095      
650      0.0294524     
700      0.0227074     
750      0.0239549     
800      0.030478      
850      0.0360542     
900      0.0334622     
950      0.0243793     
1000     0.0173474     
125      0.0473        
205      0.0517        
