## pi+ -> cu-63
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
0        0.0471091     
50       0.0596025     
100      0.2877        
150      0.335064      
200      0.394725      
250      0.436786      
300      0.454046      
350      0.465293      
400      0.233655      
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
