## pi+ -> li-7
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
85       .119          
125      .101          
165      .093          
205      .117          
245      .127          
0        0.107042      
50       0.140973      
100      0.344354      
150      0.396092      
200      0.457315      
250      0.498071      
300      0.515428      
350      0.52557       
400      0.26353       
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
