## pi+ -> nb-93
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
85       .039          
125      .041          
165      .052          
205      .054          
245      .076          
315      .077          
0        0.0392173     
50       0.0493622     
100      0.277548      
150      0.323967      
200      0.383069      
250      0.425156      
300      0.442336      
350      0.453725      
400      0.227911      
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
