## pi+ -> be-9
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
0        0.0995144     
50       0.130388      
100      0.338005      
150      0.389328      
200      0.450501      
250      0.491493      
300      0.508866      
350      0.519155      
400      0.260355      
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
100      0.264797      
