
   A   KE   XSec
   1    0.  0.424545
   1   50.  21.2307
   1  100.  45.9452
   1  150.  46.9562
   1  200.  47.407
   1  250.  45.6105
   1  300.  41.71
   1  350.  32.7682
   1  400.  27.8021
   1  450.  23.6352
   1  500.  20.1924
   1  550.  17.3917
   1  600.  15.1716
   1  650.  13.1018
   1  700.  11.4829
   1  750.  10.2601
   1  800.  9.38577
   1  850.  8.81196
   1  900.  8.49774
   1  950.  8.40894
   1 1000.  8.50457

   A   KE   XSec
   7    0.  1.55364
   7   50.  77.6946
   7  100.  168.138
   7  150.  171.838
   7  200.  173.488
   7  250.  166.913
   7  300.  152.639
   7  350.  119.917
   7  400.  101.743
   7  450.  86.494
   7  500.  73.8949
   7  550.  63.6456
   7  600.  55.5212
   7  650.  47.9467
   7  700.  42.0221
   7  750.  37.5474
   7  800.  34.3476
   7  850.  32.2478
   7  900.  31.0978
   7  950.  30.7729
   7 1000.  31.1228

   A   KE   XSec
  14    0.  2.46631
  14   50.  123.335
  14  100.  266.909
  14  150.  272.782
  14  200.  275.401
  14  250.  264.965
  14  300.  242.306
  14  350.  190.36
  14  400.  161.511
  14  450.  137.304
  14  500.  117.304
  14  550.  101.033
  14  600.  88.1364
  14  650.  76.1124
  14  700.  66.7074
  14  750.  59.6042
  14  800.  54.5247
  14  850.  51.1913
  14  900.  49.3659
  14  950.  48.85
  14 1000.  49.4056

   A   KE   XSec
  40    0.  4.96612
  40   50.  248.346
  40  100.  537.444
  40  150.  549.27
  40  200.  554.544
  40  250.  533.529
  40  300.  487.903
  40  350.  383.306
  40  400.  325.215
  40  450.  276.473
  40  500.  236.201
  40  550.  203.439
  40  600.  177.47
  40  650.  153.259
  40  700.  134.321
  40  750.  120.018
  40  800.  109.79
  40  850.  103.078
  40  900.  99.4024
  40  950.  98.3636
  40 1000.  99.4823

   A   KE   XSec
  63    0.  6.72271
  63   50.  336.19
  63  100.  727.546
  63  150.  743.555
  63  200.  750.694
  63  250.  722.245
  63  300.  660.481
  63  350.  518.887
  63  400.  440.248
  63  450.  374.265
  63  500.  319.748
  63  550.  275.399
  63  600.  240.244
  63  650.  207.468
  63  700.  181.832
  63  750.  162.47
  63  800.  148.624
  63  850.  139.538
  63  900.  134.562
  63  950.  133.156
  63 1000.  134.671

   A   KE   XSec
  93    0.  8.71589
  93   50.  435.865
  93  100.  943.251
  93  150.  964.007
  93  200.  973.263
  93  250.  936.38
  93  300.  856.303
  93  350.  672.729
  93  400.  570.775
  93  450.  485.229
  93  500.  414.548
  93  550.  357.05
  93  600.  311.472
  93  650.  268.98
  93  700.  235.743
  93  750.  210.64
  93  800.  192.689
  93  850.  180.909
  93  900.  174.458
  93  950.  172.635
  93 1000.  174.598

   A   KE   XSec
 120    0.  10.3303
 120   50.  516.6
 120  100.  1117.97
 120  150.  1142.57
 120  200.  1153.54
 120  250.  1109.83
 120  300.  1014.92
 120  350.  797.339
 120  400.  676.5
 120  450.  575.108
 120  500.  491.335
 120  550.  423.186
 120  600.  369.166
 120  650.  318.803
 120  700.  279.409
 120  750.  249.657
 120  800.  228.381
 120  850.  214.419
 120  900.  206.773
 120  950.  204.612
 120 1000.  206.939

   A   KE   XSec
 208    0.  14.9065
 208   50.  745.447
 208  100.  1613.22
 208  150.  1648.71
 208  200.  1664.54
 208  250.  1601.46
 208  300.  1464.51
 208  350.  1150.55
 208  400.  976.181
 208  450.  829.874
 208  500.  708.99
 208  550.  610.653
 208  600.  532.702
 208  650.  460.028
 208  700.  403.184
 208  750.  360.252
 208  800.  329.551
 208  850.  309.404
 208  900.  298.371
 208  950.  295.253
 208 1000.  298.611

   A   KE   XSec
 209    0.  14.9543
 209   50.  747.835
 209  100.  1618.38
 209  150.  1653.99
 209  200.  1669.88
 209  250.  1606.59
 209  300.  1469.2
 209  350.  1154.24
 209  400.  979.307
 209  450.  832.531
 209  500.  711.261
 209  550.  612.608
 209  600.  534.408
 209  650.  461.502
 209  700.  404.476
 209  750.  361.405
 209  800.  330.606
 209  850.  310.395
 209  900.  299.326
 209  950.  296.198
 209 1000.  299.567
