## pi+ -> bi-209
## File generated by MakeTextFiles.cxx
## KE    elas_xs    
85       1220.         
125      1420.         
165      1504.         
205      1570.         
245      1580.         
315      1550.         
350      1604.22       
400      1361.1        
450      1157.1        
500      988.552       
550      851.439       
600      742.752       
650      641.422       
700      562.164       
750      502.302       
800      459.496       
850      431.405       
900      416.021       
950      411.674       
1000     416.356       
0        200.915       
50       1908.7        
