## pi+ -> fe-56
## File generated by MakeTextFiles.cxx
## KE    elas_xs    
85       616.          
125      661.          
165      686.          
205      700.          
245      674.          
315      593.          
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0             
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
