## pi+ -> bi-209
## File generated by MakeTextFiles.cxx
## KE    elas_frac  
85       .290          
125      .348          
165      .378          
205      .409          
245      .415          
315      .443          
0        0.250575      
50       0.524069      
350      0.517659      
400      0.464448      
450      0.414937      
500      0.369811      
550      0.330106      
600      0.296258      
650      0.261616      
700      0.232947      
750      0.210301      
800      0.193412      
850      0.181753      
900      0.174758      
950      0.171855      
1000     0.172356      
