## pi+ -> he-4
## File generated by MakeTextFiles.cxx
## KE    elas_frac  
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0             
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
51       0             
58       0             
61       0             
65       0             
75       0             
85       0             
95       0             
105      0             
110      0             
146      0             
189      0             
225      0             
262      0             
