## pi+ -> fe-56
## File generated by MakeTextFiles.cxx
## KE    elas_frac  
85       .324          
125      .345          
165      .373          
205      .400          
245      .419          
315      .424          
0        0.212942      
50       0.475023      
350      0.372438      
400      0.334154      
450      0.298533      
500      0.266067      
550      0.2375        
600      0.213148      
650      0.188224      
700      0.167597      
750      0.151305      
800      0.139153      
850      0.130765      
900      0.125733      
950      0.123644      
1000     0.124004      
