## pi+ -> li-7
## File generated by MakeTextFiles.cxx
## KE    elas_frac  
85       .427          
125      .322          
165      .271          
205      .258          
245      .236          
315      .208          
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0             
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
