## pi+ -> c-12
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
125      213.          
165      207.          
205      210.          
245      224.          
315      200.          
67       71            
85       108           
100      146           
0        20            
50       46            
100      50.3801       
150      45.6461       
200      33.9687       
250      28.1389       
300      24.891        
350      23.5983       
400      23.3297       
450      23.5518       
500      23.9278       
550      23.0075       
600      20.6154       
650      18.055        
700      16.5761       
750      16.2682       
800      16.483        
850      16.5546       
900      16.0927       
950      15.3622       
1000     14.7785       
