## pi+ -> bi-209
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
125      1257.         
165      696.          
205      1060.         
245      1100.         
315      1028.         
350      965.79        
400      962.181       
450      947.745       
500      923.925       
550      892.646       
600      857.759       
650      845.728       
700      831.292       
750      819.262       
800      813.247       
850      815.653       
900      822.871       
950      832.495       
1000     840.916       
0        62.7214       
50       144.259       
