## pi+ -> ti-48
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
0        34.822        
50       80.0907       
100      126.95        
150      115.021       
200      85.5957       
250      70.9056       
300      62.7215       
350      59.464        
400      58.7873       
450      59.3467       
500      60.2942       
550      57.9752       
600      51.9475       
650      45.4958       
700      41.7692       
750      40.9932       
800      41.5346       
850      41.715        
900      40.551        
950      38.7103       
1000     37.2395       
