## pi+ -> fe-56
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
125      644.          
165      474.          
205      360.          
245      430.          
315      389.          
0        37.0367       
50       85.1845       
100      140.69        
150      127.47        
200      94.86         
250      78.58         
300      69.51         
350      65.9          
400      65.15         
450      65.77         
500      66.82         
550      64.25         
600      57.57         
650      50.42         
700      46.29         
750      45.43         
800      46.03         
850      46.23         
900      44.94         
950      42.9          
1000     41.27         
