## pi+ -> li-7
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
125      131.          
165      191.          
205      230.          
245      209.          
315      188.          
0        16.1212       
50       37.0787       
100      35.1725       
150      31.8675       
200      23.715        
250      19.645        
300      17.3775       
350      16.475        
400      16.2875       
450      16.4425       
500      16.705        
550      16.0625       
600      14.3925       
650      12.605        
700      11.5725       
750      11.3575       
800      11.5075       
850      11.5575       
900      11.235        
950      10.725        
1000     10.3175       
