## pi+ -> nb-93
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
125      652.          
165      552.          
205      618.          
245      690.          
315      579.          
0        45.3681       
50       104.347       
100      197.3         
150      178.76        
200      133.029       
250      110.198       
300      97.4789       
350      92.4163       
400      91.3645       
450      92.234        
500      93.7065       
550      90.1024       
600      80.7346       
650      70.7076       
700      64.9158       
750      63.7098       
800      64.5512       
850      64.8317       
900      63.0226       
950      60.1618       
1000     57.8759       
