## pi+ -> sn-120
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
0        0.138473      
50       0.111021      
100      0.196472      
150      0.182665      
200      0.177158      
250      0.178278      
300      0.1736        
350      0.17601       
400      0.178043      
450      0.177247      
500      0.17391       
550      0.162019      
600      0.142682      
650      0.122087      
700      0.107105      
750      0.0997322     
800      0.0966308     
850      0.095127      
900      0.0917726     
950      0.0875259     
1000     0.0834768     
67       0.185942      
85       0.242681      
100      0.305789      
