## pi+ -> c-12
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
125      .334          
165      .309          
205      .335          
245      .406          
315      .449          
0        0.363636      
50       0.302632      
100      0.23981       
150      0.220044      
200      0.20887       
250      0.20662       
300      0.20022       
350      0.201903      
400      0.203903      
450      0.202271      
500      0.197134      
550      0.182         
600      0.158536      
650      0.134286      
700      0.116917      
750      0.10829       
800      0.104548      
850      0.102479      
900      0.0985132     
950      0.0936345     
1000     0.0891106     
67       0.274976      
85       0.372549      
100      0.694963      
