## pi+ -> ho-165
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
0        0.11794       
50       0.0942437     
100      0.190487      
150      0.177424      
200      0.172602      
250      0.174125      
300      0.169678      
350      0.172171      
400      0.174201      
450      0.173515      
500      0.17042       
550      0.158984      
600      0.140244      
650      0.120189      
700      0.105564      
750      0.0983805     
800      0.0953749     
850      0.093955      
900      0.0906936     
950      0.0865442     
1000     0.0825691     
