## pi+ -> o-16
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
0        0.32975       
50       0.272869      
100      0.234458      
150      0.215481      
200      0.205071      
250      0.203276      
300      0.197093      
350      0.198875      
400      0.200883      
450      0.199359      
500      0.194447      
550      0.179706      
600      0.156734      
650      0.132911      
700      0.115819      
750      0.107337      
800      0.103669      
850      0.101666      
900      0.09777       
950      0.0929631     
1000     0.0884925     
