## pi+ -> ta-181
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
0        0.112465      
50       0.0897889     
100      0.188753      
150      0.175903      
200      0.171273      
250      0.17291       
300      0.16853       
350      0.171046      
400      0.173075      
450      0.17242       
500      0.169394      
550      0.158091      
600      0.139525      
650      0.119628      
700      0.105108      
750      0.09798       
800      0.0950026     
850      0.0936073     
900      0.0903732     
950      0.0862524     
1000     0.0822993     
