## pi+ -> h-1
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
0        0.629826      
50       0.548834      
100      0.283765      
150      0.25697       
200      0.2389        
250      0.232587      
300      0.224382      
350      0.225163      
400      0.227062      
450      0.224532      
500      0.217533      
550      0.199256      
600      0.171952      
650      0.144418      
700      0.124957      
750      0.115233      
800      0.110931      
850      0.10836       
900      0.103871      
950      0.0984601     
1000     0.0935439     
