## pi+ -> bi-209
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
165      0.175         
315      0.294         
0        0.0782241     
50       0.0396091     
350      0.311646      
400      0.328325      
450      0.339862      
500      0.345635      
550      0.346082      
600      0.342131      
650      0.344946      
700      0.344467      
750      0.343004      
800      0.342313      
850      0.343639      
900      0.345664      
950      0.347529      
1000     0.348108      
125      0.2464        
205      0.2484        
245      0.2601        
