## pi+ -> d-2
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
0        0.567563      
50       0.489192      
100      0.272019      
150      0.247197      
200      0.231073      
250      0.225899      
300      0.218179      
350      0.219213      
400      0.221145      
450      0.218857      
500      0.212356      
550      0.194902      
600      0.168591      
650      0.141896      
700      0.122965      
750      0.113518      
800      0.109358      
850      0.106914      
900      0.102557      
950      0.097279      
1000     0.0924602     
