## pi+ -> he3-3
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
0        0.52551       
50       0.449639      
100      0.26494       
150      0.241274      
200      0.226288      
250      0.221782      
300      0.214354      
350      0.215537      
400      0.217486      
450      0.215345      
500      0.209144      
550      0.192192      
600      0.166491      
650      0.140314      
700      0.121712      
750      0.112438      
800      0.108367      
850      0.106002      
900      0.101726      
950      0.0965316     
1000     0.091774      
