## pi+ -> ti-48
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
0        0.212943      
50       0.172821      
100      0.213785      
150      0.197715      
200      0.190091      
250      0.189954      
300      0.184599      
350      0.186742      
400      0.188771      
450      0.18765       
500      0.183603      
550      0.170402      
600      0.149376      
650      0.127268      
700      0.11129       
750      0.103394      
800      0.100025      
850      0.0982867     
900      0.0946755     
950      0.0901617     
1000     0.0859107     
