## pi+ -> he-4
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
0        0.493602      
50       0.420012      
100      0.259834      
150      0.236987      
200      0.222804      
250      0.218772      
300      0.211554      
350      0.212842      
400      0.214803      
450      0.212766      
500      0.206781      
550      0.190195      
600      0.164939      
650      0.139143      
700      0.120783      
750      0.111636      
800      0.10763       
850      0.105323      
900      0.101108      
950      0.0959748     
1000     0.0912625     
