## pi+ -> cu-63
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
0        0.188436      
50       0.152318      
100      0.208641      
150      0.19326       
200      0.186286      
250      0.186536      
300      0.181384      
350      0.18361       
400      0.185642      
450      0.184619      
500      0.180784      
550      0.167971      
600      0.147441      
650      0.125775      
700      0.110087      
750      0.102342      
800      0.0990519     
850      0.0973818     
900      0.093845      
950      0.0894084     
1000     0.0852156     
