## pi+ -> nb-93
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
125      .253          
165      .221          
205      .258          
245      .307          
315      .290          
0        0.156869      
50       0.126148      
100      0.20128       
150      0.18686       
200      0.180786      
250      0.18157       
300      0.176705      
350      0.179045      
400      0.181078      
450      0.180194      
500      0.176661      
550      0.164405      
600      0.144593      
650      0.123571      
700      0.108306      
750      0.100785      
800      0.0976077     
850      0.0960376     
900      0.0926101     
950      0.0882871     
1000     0.0841802     
