## pi+ -> be-9
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
0        0.398058      
50       0.333215      
100      0.245123      
150      0.224559      
200      0.21261       
250      0.2099        
300      0.203283      
350      0.204864      
400      0.206855      
450      0.205117      
500      0.199755      
550      0.184232      
600      0.160286      
650      0.135617      
700      0.117979      
750      0.109211      
800      0.105397      
850      0.103263      
900      0.0992294     
950      0.0942811     
1000     0.0897055     
