## pi+ -> c-12
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      29.3636       
450      60.8758       
500      65.8891       
550      73.0509       
600      81.287        
650      90.2394       
700      99.9079       
750      108.86        
800      116.022       
850      120.677       
900      123.9         
950      126.407       
1000     129.271       
