## pi+ -> h-1
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      5.60216       
450      11.6142       
500      12.5707       
550      13.9371       
600      15.5084       
650      17.2164       
700      19.061        
750      20.769        
800      22.1353       
850      23.0235       
900      23.6384       
950      24.1166       
1000     24.6631       
