## pi+ -> bi-209
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      197.296       
450      409.029       
500      442.714       
550      490.835       
600      546.174       
650      606.326       
700      671.289       
750      731.441       
800      779.562       
850      810.84        
900      832.495       
950      849.337       
1000     868.586       
