## pi+ -> cu-63
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      88.6983       
450      183.887       
500      199.03        
550      220.664       
600      245.543       
650      272.585       
700      301.791       
750      328.833       
800      350.467       
850      364.529       
900      374.264       
950      381.836       
1000     390.489       
