## pi+ -> li-7
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      20.5          
450      42.5          
500      46            
550      51            
600      56.75         
650      63            
700      69.75         
750      76            
800      81            
850      84.25         
900      86.5          
950      88.25         
1000     90.25         
