## pi+ -> nb-93
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      114.995       
450      238.403       
500      258.036       
550      286.084       
600      318.338       
650      353.398       
700      391.262       
750      426.321       
800      454.369       
850      472.599       
900      485.221       
950      495.037       
1000     506.256       
