## pi+ -> sn-120
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.224091      
450      0.458143      
500      0.478891      
550      0.514427      
600      0.5626        
650      0.610194      
700      0.645543      
750      0.667369      
800      0.680173      
850      0.693441      
900      0.706571      
950      0.720201      
1000     0.730194      
