## pi+ -> ho-165
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.219256      
450      0.448495      
500      0.469279      
550      0.504791      
600      0.552985      
650      0.600706      
700      0.636258      
750      0.658324      
800      0.671333      
850      0.684898      
900      0.698264      
950      0.712123      
1000     0.722255      
