## pi+ -> o-16
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.252838      
450      0.515295      
500      0.535442      
550      0.570585      
600      0.618005      
650      0.664293      
700      0.698068      
750      0.718255      
800      0.729717      
850      0.741106      
900      0.752747      
950      0.764941      
1000     0.774069      
