## pi+ -> ta-181
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.217839      
450      0.445665      
500      0.466456      
550      0.501956      
600      0.55015       
650      0.597903      
700      0.633511      
750      0.655644      
800      0.668713      
850      0.682363      
900      0.695797      
950      0.709723      
1000     0.719895      
