## pi+ -> h-1
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.285788      
450      0.580361      
500      0.599014      
550      0.632656      
600      0.678013      
650      0.721806      
700      0.753141      
750      0.771095      
800      0.780833      
850      0.789903      
900      0.799716      
950      0.810173      
1000     0.818254      
