## pi+ -> bi-209
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.215626      
450      0.441245      
500      0.462042      
550      0.49752       
600      0.545708      
650      0.593506      
700      0.629197      
750      0.651435      
800      0.664594      
850      0.678377      
900      0.691917      
950      0.705945      
1000     0.716179      
