## pi+ -> d-2
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.27834       
450      0.565695      
500      0.584759      
550      0.618833      
600      0.66476       
650      0.709198      
700      0.741135      
750      0.75962       
800      0.769761      
850      0.779366      
900      0.7896        
950      0.800454      
1000     0.808775      
