## pi+ -> he3-3
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.273735      
450      0.556615      
500      0.575912      
550      0.610228      
600      0.656476      
650      0.701292      
700      0.733587      
750      0.752394      
800      0.76278       
850      0.772713      
900      0.783205      
950      0.794304      
1000     0.802772      
