## pi+ -> ti-48
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.237594      
450      0.485032      
500      0.505581      
550      0.541044      
600      0.588994      
650      0.636087      
700      0.670771      
750      0.69187       
800      0.704067      
850      0.716475      
900      0.728921      
950      0.74189       
1000     0.751485      
