## pi+ -> he-4
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.270358      
450      0.54995       
500      0.569407      
550      0.603886      
600      0.650357      
650      0.695438      
700      0.727988      
750      0.747027      
800      0.757592      
850      0.767764      
900      0.778444      
950      0.789722      
1000     0.798298      
